drug_name,qNet,risk_level,risk_code
bepridil,0.000284,high,2
bepridil,0.00028475,high,2
bepridil,0.00028475,high,2
bepridil,0.000284,high,2
bepridil,0.0002845,high,2
bepridil,0.0002835,high,2
bepridil,0.000285,high,2
bepridil,0.000284,high,2
bepridil,0.00028525,high,2
bepridil,0.000284,high,2
bepridil,0.00028525,high,2
bepridil,0.000285,high,2
bepridil,0.000285,high,2
bepridil,0.000285,high,2
bepridil,0.000284,high,2
bepridil,0.00028525,high,2
bepridil,0.00028475,high,2
bepridil,0.0002855,high,2
bepridil,0.000284,high,2
bepridil,0.0002845,high,2
bepridil,0.0002845,high,2
bepridil,0.000284,high,2
bepridil,0.000284,high,2
bepridil,0.00028375,high,2
bepridil,0.000285,high,2
bepridil,0.000285,high,2
bepridil,0.000285,high,2
bepridil,0.000284,high,2
bepridil,0.0002845,high,2
bepridil,0.00028475,high,2
bepridil,0.00028575,high,2
bepridil,0.000285,high,2
bepridil,0.000284,high,2
bepridil,0.0002855,high,2
bepridil,0.000284,high,2
bepridil,0.000284,high,2
bepridil,0.000284,high,2
bepridil,0.0002855,high,2
bepridil,0.000284,high,2
bepridil,0.00028475,high,2
bepridil,0.000285,high,2
bepridil,0.0002845,high,2
bepridil,0.000285,high,2
bepridil,0.0002845,high,2
bepridil,0.000285,high,2
bepridil,0.00028575,high,2
bepridil,0.0002845,high,2
bepridil,0.0002845,high,2
bepridil,0.000285,high,2
bepridil,0.000285,high,2
bepridil,0.000284,high,2
bepridil,0.0002855,high,2
bepridil,0.0002835,high,2
bepridil,0.000284,high,2
bepridil,0.000284,high,2
bepridil,0.0002865,high,2
bepridil,0.000284,high,2
bepridil,0.000284,high,2
bepridil,0.000284,high,2
bepridil,0.00028575,high,2
bepridil,0.000285,high,2
bepridil,0.000285,high,2
bepridil,0.000285,high,2
bepridil,0.0002855,high,2
bepridil,0.00028475,high,2
bepridil,0.0002855,high,2
bepridil,0.000285,high,2
bepridil,0.000285,high,2
bepridil,0.000284,high,2
bepridil,0.000285,high,2
bepridil,0.000284,high,2
bepridil,0.0002845,high,2
